source,id,name,rawName,type,latitude,longitude,areaSqm,areaLabel,areaCategory,address,region,coordinateLabel,updatedAt,originalId,osmId,osmName,matchedType
osm_unnamed,osm-way-1179688580,"Unnamed playground at 1.38705, 103.91131",,Unnamed playground,1.3870500913043475,103.91131435217393,671.0891231197528,671 sqm,Pocket,,East,"1.387050, 103.911314",,,osm-way-1179688580,"Unnamed playground at 1.38705, 103.91131",unnamed
osm_unnamed,osm-way-1181268796,"Unnamed playground at 1.32918, 103.90594",,Unnamed playground,1.3291847833333332,103.90594301666668,63.52138394024551,64 sqm,Pocket,,East,"1.329185, 103.905943",,,osm-way-1181268796,"Unnamed playground at 1.32918, 103.90594",unnamed
osm_unnamed,osm-way-1182420671,"Unnamed playground at 1.31975, 103.87974",,Unnamed playground,1.3197492857142858,103.87973944285714,431.18720585962876,431 sqm,Pocket,,East,"1.319749, 103.879739",,,osm-way-1182420671,"Unnamed playground at 1.31975, 103.87974",unnamed
osm_unnamed,osm-way-1182455869,"Unnamed playground at 1.33558, 103.69355",,Unnamed playground,1.3355798444444447,103.69355020555555,208.1240533126448,208 sqm,Pocket,,West,"1.335580, 103.693550",,,osm-way-1182455869,"Unnamed playground at 1.33558, 103.69355",unnamed
osm_unnamed,osm-way-1182455870,"Unnamed playground at 1.33559, 103.69270",,Unnamed playground,1.3355933588235296,103.69269784117648,126.94206652155621,127 sqm,Pocket,,West,"1.335593, 103.692698",,,osm-way-1182455870,"Unnamed playground at 1.33559, 103.69270",unnamed
osm_unnamed,osm-way-1182569847,"Unnamed playground at 1.32140, 103.90130",,Unnamed playground,1.3214026666666667,103.90130275,30.09003974468749,30 sqm,Pocket,,East,"1.321403, 103.901303",,,osm-way-1182569847,"Unnamed playground at 1.32140, 103.90130",unnamed
osm_unnamed,osm-way-1182569850,"Unnamed playground at 1.32077, 103.90064",,Unnamed playground,1.3207749,103.90063783125,305.4350679463749,305 sqm,Pocket,,East,"1.320775, 103.900638",,,osm-way-1182569850,"Unnamed playground at 1.32077, 103.90064",unnamed
osm_unnamed,osm-way-1182739221,"Unnamed playground at 1.31674, 103.91158",,Unnamed playground,1.31674464,103.91157716000001,38.92270985070393,39 sqm,Pocket,,East,"1.316745, 103.911577",,,osm-way-1182739221,"Unnamed playground at 1.31674, 103.91158",unnamed
osm_unnamed,osm-way-1182916064,"Unnamed playground at 1.27619, 103.82999",,Unnamed playground,1.2761882625,103.8299890375,83.19978245492509,83 sqm,Pocket,,South,"1.276188, 103.829989",,,osm-way-1182916064,"Unnamed playground at 1.27619, 103.82999",unnamed
osm_unnamed,osm-way-1182941651,"Unnamed playground at 1.33194, 103.85910",,Unnamed playground,1.3319386199999999,103.85910238666665,334.5501111190447,335 sqm,Pocket,,Central,"1.331939, 103.859102",,,osm-way-1182941651,"Unnamed playground at 1.33194, 103.85910",unnamed
osm_unnamed,osm-way-1182941690,"Unnamed playground at 1.33106, 103.85986",,Unnamed playground,1.3310644,103.8598628625,255.18256758629005,255 sqm,Pocket,,Central,"1.331064, 103.859863",,,osm-way-1182941690,"Unnamed playground at 1.33106, 103.85986",unnamed
osm_unnamed,osm-way-1182941691,"Unnamed playground at 1.33091, 103.85968",,Unnamed playground,1.3309059454545453,103.8596817,109.45035951018251,109 sqm,Pocket,,Central,"1.330906, 103.859682",,,osm-way-1182941691,"Unnamed playground at 1.33091, 103.85968",unnamed
osm_unnamed,osm-way-1183676833,"Unnamed playground at 1.31616, 103.78307",,Unnamed playground,1.31615792,103.78307455000001,272.8747983524458,273 sqm,Pocket,,South,"1.316158, 103.783075",,,osm-way-1183676833,"Unnamed playground at 1.31616, 103.78307",unnamed
osm_unnamed,osm-way-1184450963,"Unnamed playground at 1.31120, 103.78246",,Unnamed playground,1.3112047499999997,103.78245812,293.0077612131456,293 sqm,Pocket,,South,"1.311205, 103.782458",,,osm-way-1184450963,"Unnamed playground at 1.31120, 103.78246",unnamed
osm_unnamed,osm-way-1184451048,"Unnamed playground at 1.31033, 103.78308",,Unnamed playground,1.3103250666666664,103.7830758857143,171.641098350058,172 sqm,Pocket,,South,"1.310325, 103.783076",,,osm-way-1184451048,"Unnamed playground at 1.31033, 103.78308",unnamed
osm_unnamed,osm-way-1184451049,"Unnamed playground at 1.31022, 103.78349",,Unnamed playground,1.3102177312499999,103.78349257500001,221.34423335252794,221 sqm,Pocket,,South,"1.310218, 103.783493",,,osm-way-1184451049,"Unnamed playground at 1.31022, 103.78349",unnamed
osm_unnamed,osm-way-1189888236,"Unnamed playground at 1.35333, 103.88089",,Unnamed playground,1.35333166,103.88088614,23.00295804535016,23 sqm,Pocket,,East,"1.353332, 103.880886",,,osm-way-1189888236,"Unnamed playground at 1.35333, 103.88089",unnamed
osm_unnamed,osm-way-1190776749,"Unnamed playground at 1.39694, 103.88822",,Unnamed playground,1.3969433999999998,103.88821597499998,254.2506325328545,254 sqm,Pocket,,East,"1.396943, 103.888216",,,osm-way-1190776749,"Unnamed playground at 1.39694, 103.88822",unnamed
osm_unnamed,osm-way-1190776750,"Unnamed playground at 1.39698, 103.88802",,Unnamed playground,1.3969815312499998,103.88801599999998,206.82605388947513,207 sqm,Pocket,,East,"1.396982, 103.888016",,,osm-way-1190776750,"Unnamed playground at 1.39698, 103.88802",unnamed
osm_unnamed,osm-way-1196246954,"Unnamed playground at 1.44836, 103.83362",,Unnamed playground,1.4483552800000001,103.83362384,82.44485860560476,82 sqm,Pocket,,North,"1.448355, 103.833624",,,osm-way-1196246954,"Unnamed playground at 1.44836, 103.83362",unnamed
osm_unnamed,osm-way-1197274487,"Unnamed playground at 1.36541, 103.87363",,Unnamed playground,1.3654061375,103.873631425,195.078404063957,195 sqm,Pocket,,East,"1.365406, 103.873631",,,osm-way-1197274487,"Unnamed playground at 1.36541, 103.87363",unnamed
osm_unnamed,osm-way-1199899740,"Unnamed playground at 1.37118, 103.89944",,Unnamed playground,1.3711805,103.89943808000001,194.28671998411625,194 sqm,Pocket,,East,"1.371180, 103.899438",,,osm-way-1199899740,"Unnamed playground at 1.37118, 103.89944",unnamed
osm_unnamed,osm-way-1199899741,"Unnamed playground at 1.37149, 103.89949",,Unnamed playground,1.37149004,103.89948969,199.33243580914043,199 sqm,Pocket,,East,"1.371490, 103.899490",,,osm-way-1199899741,"Unnamed playground at 1.37149, 103.89949",unnamed
osm_unnamed,osm-way-1199899777,"Unnamed playground at 1.37078, 103.89944",,Unnamed playground,1.370780853846154,103.89944286153846,231.5976770642665,232 sqm,Pocket,,East,"1.370781, 103.899443",,,osm-way-1199899777,"Unnamed playground at 1.37078, 103.89944",unnamed
osm_unnamed,osm-way-1200851161,"Unnamed playground at 1.28697, 103.82342",,Unnamed playground,1.2869676142857145,103.82342290714287,345.67968265308286,346 sqm,Pocket,,South,"1.286968, 103.823423",,,osm-way-1200851161,"Unnamed playground at 1.28697, 103.82342",unnamed
osm_unnamed,osm-way-1200851162,"Unnamed playground at 1.28644, 103.82245",,Unnamed playground,1.2864355428571428,103.82244775714285,247.91165768654304,248 sqm,Pocket,,South,"1.286436, 103.822448",,,osm-way-1200851162,"Unnamed playground at 1.28644, 103.82245",unnamed
osm_unnamed,osm-way-1200851167,"Unnamed playground at 1.28572, 103.82388",,Unnamed playground,1.2857225499999998,103.82387742142859,175.33853064348133,175 sqm,Pocket,,South,"1.285723, 103.823877",,,osm-way-1200851167,"Unnamed playground at 1.28572, 103.82388",unnamed
osm_unnamed,osm-way-1201105899,"Unnamed playground at 1.35714, 103.93020",,Unnamed playground,1.3571363076923078,103.93020488461539,178.0704974453039,178 sqm,Pocket,,East,"1.357136, 103.930205",,,osm-way-1201105899,"Unnamed playground at 1.35714, 103.93020",unnamed
osm_unnamed,osm-way-1201105903,"Unnamed playground at 1.35687, 103.93086",,Unnamed playground,1.3568664315789476,103.9308621,99.20857466880743,99 sqm,Pocket,,East,"1.356866, 103.930862",,,osm-way-1201105903,"Unnamed playground at 1.35687, 103.93086",unnamed
osm_unnamed,osm-way-1202372169,"Unnamed playground at 1.34404, 103.94605",,Unnamed playground,1.34403632,103.94604809999998,338.81842712667617,339 sqm,Pocket,,East,"1.344036, 103.946048",,,osm-way-1202372169,"Unnamed playground at 1.34404, 103.94605",unnamed
osm_unnamed,osm-way-1202372172,"Unnamed playground at 1.34438, 103.94925",,Unnamed playground,1.3443752200000003,103.94925456000001,210.88807745867936,211 sqm,Pocket,,East,"1.344375, 103.949255",,,osm-way-1202372172,"Unnamed playground at 1.34438, 103.94925",unnamed
osm_unnamed,osm-way-1202493173,"Unnamed playground at 1.36156, 103.97034",,Unnamed playground,1.36156376,103.9703442,117.09541013491354,117 sqm,Pocket,,East,"1.361564, 103.970344",,,osm-way-1202493173,"Unnamed playground at 1.36156, 103.97034",unnamed
osm_unnamed,osm-way-1203151777,"Unnamed playground at 1.40323, 103.91571",,Unnamed playground,1.4032300882352942,103.91571134117646,297.5499607543753,298 sqm,Pocket,,East,"1.403230, 103.915711",,,osm-way-1203151777,"Unnamed playground at 1.40323, 103.91571",unnamed
osm_unnamed,osm-way-1203151781,"Unnamed playground at 1.40389, 103.91513",,Unnamed playground,1.4038884055555558,103.91512888888889,380.06406529243293,380 sqm,Pocket,,East,"1.403888, 103.915129",,,osm-way-1203151781,"Unnamed playground at 1.40389, 103.91513",unnamed
osm_unnamed,osm-way-1204440980,"Unnamed playground at 1.27631, 103.80729",,Unnamed playground,1.2763128714285714,103.80728955714285,232.7114122943353,233 sqm,Pocket,,South,"1.276313, 103.807290",,,osm-way-1204440980,"Unnamed playground at 1.27631, 103.80729",unnamed
